Pool_Numb,PlateRun,PlateRunDate,SH_Temp,SH_Tide,Bag,Site,Lease,Species,Year,Cohort,Sample_Date,Sampling_Period,Pool_Rep,Weight_mg,SampleSize,Copies_per_2ul,Copies_per_ul,CopiesX200,Copies_per_mgTissue,log_transform,OsHV1,Pos_Neg,,Notes
653,23,45089,15,No Tide,15,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,15.1,5,948.2703427,474.1351713,94827.03427,6279.936044,3.797955221,1,Pos,,
654,23,45089,15,No Tide,15,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,15.6,5,4166.735695,2083.367848,416673.5695,26709.8442,4.426671355,1,Pos,,
655,23,45089,15,No Tide,15,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,14.4,5,1965.022726,982.511363,196502.2726,13645.99115,4.135005085,1,Pos,,
656,23,45089,15,Tide,16,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,16.7,5,744.1667394,372.0833697,74416.67394,4456.08826,3.648953784,1,Pos,,
657,23,45089,15,Tide,16,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,11.7,5,84.40452353,42.20226176,8440.452353,721.406184,2.858179861,1,Pos,,
658,23,45089,15,Tide,16,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,18.5,5,1235.267431,617.6337154,123526.7431,6677.121248,3.824589263,1,Pos,,
659,23,45089,15,Tide,16,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,23.1,5,326.7102635,163.3551317,32671.02635,1414.330145,3.150550798,1,Pos,,
660,23,45089,15,Tide,17,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,20.5,5,10334.69545,5167.347725,1033469.545,50413.14854,4.702543822,1,Pos,,
661,23,45089,15,Tide,17,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,13.5,5,5588.20685,2794.103425,558820.685,41394.12481,4.616938705,1,Pos,,
662,23,45089,15,Tide,17,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,20.7,5,2408.684821,1204.34241,240868.4821,11636.15855,4.06580963,1,Pos,,
663,23,45089,15,Tide,17,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,15.6,5,1308.637864,654.318932,130863.7864,8388.704256,3.923694884,1,Pos,,
664,23,45089,15,Tide,18,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,18.5,5,927.0267459,463.513373,92702.67459,5010.955383,3.699920536,1,Pos,,
665,23,45089,15,Tide,18,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,18.9,5,640.5407231,320.2703616,64054.07231,3389.104355,3.530084942,1,Pos,,
666,23,45089,15,Tide,18,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,15.9,4,264.6883272,132.3441636,26468.83272,1664.706461,3.221337665,1,Pos,,
667,23,45089,15,Tide,18,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,16.5,4,371.0425361,185.5212681,37104.25361,2248.742643,3.351939756,1,Pos,,
668,23,45089,21,Tide,19,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,19.2,5,3419733.33,1709866.665,341973333,17811111.09,7.250691013,1,Pos,,
669,23,45089,21,Tide,19,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,18.6,5,3461074.398,1730537.199,346107439.8,18607926.87,7.269697991,1,Pos,,
670,23,45089,21,Tide,19,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,18.4,5,7351.211522,3675.605761,735121.1522,39952.23653,4.601541096,1,Pos,,
671,23,45089,21,Tide,19,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,19.6,5,622391.5474,311195.7737,62239154.74,3175467.078,6.501807615,1,Pos,,
672,24,45089,21,Tide,20,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,21.1,5,264.6817297,132.3408648,26468.17297,1254.41578,3.098441509,1,Pos,,
673,24,45089,21,Tide,20,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,19.1,5,192.4876946,96.24384732,19248.76946,1007.788977,3.003369604,1,Pos,,
674,24,45089,21,Tide,20,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,22.1,5,286.4385783,143.2192891,28643.85783,1296.102164,3.112639236,1,Pos,,
675,24,45089,21,Tide,20,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,20.2,5,258.950787,129.4753935,25895.0787,1281.934589,3.107865866,1,Pos,,
676,24,45089,21,Tide,21,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,15.3,5,167.2857578,83.64287892,16728.57578,1093.370966,3.038767537,1,Pos,,
677,24,45089,21,Tide,21,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,13.2,5,187.698212,93.84910598,18769.8212,1421.956151,3.152886204,1,Pos,,
678,24,45089,21,Tide,21,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,11.4,5,231.0265299,115.5132649,23102.65299,2026.548508,3.306757004,1,Pos,,
679,24,45089,21,Tide,21,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,4,17.6,5,456.8882339,228.4441169,45688.82339,2595.955874,3.414297306,1,Pos,,
680,24,45089,21,No Tide,22,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,1,14.3,5,1433925.609,716962.8044,143392560.9,10027451.81,7.001190584,1,Pos,,
681,24,45089,21,No Tide,22,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,2,17.8,5,1191831.802,595915.9011,119183180.2,6695684.282,6.825794967,1,Pos,,
682,24,45089,21,No Tide,22,Middle,BBOC,M. gigas,2022,2022,11-Aug-22,5,3,10.6,5,499983.6737,249991.8368,49998367.37,4716827.11,6.673649958,1,Pos,,
