Numb,Date_Time,Temp_C
430,7/26/2020 11:00,22.609
431,7/26/2020 12:00,25.38
432,7/26/2020 13:00,23.497
433,7/26/2020 14:00,23.016
434,7/26/2020 15:00,23.376
435,7/26/2020 16:00,22.776
436,7/26/2020 17:00,22.465
437,7/26/2020 18:00,22.321
438,7/26/2020 19:00,22.417
439,7/26/2020 20:00,22.561
440,7/26/2020 21:00,23.617
441,7/26/2020 22:00,24.098
442,7/26/2020 23:00,23.833
443,7/27/2020 0:00,23.352
444,7/27/2020 1:00,22.465
445,7/27/2020 2:00,22.298
446,7/27/2020 3:00,22.058
447,7/27/2020 4:00,21.939
448,7/27/2020 5:00,21.509
449,7/27/2020 6:00,21.366
450,7/27/2020 7:00,21.318
451,7/27/2020 8:00,21.008
452,7/27/2020 9:00,21.127
453,7/27/2020 10:00,21.533
454,7/27/2020 11:00,22.657
455,7/27/2020 12:00,23.376
456,7/27/2020 13:00,23.376
457,7/27/2020 14:00,23.088
458,7/27/2020 15:00,22.992
459,7/27/2020 16:00,22.992
460,7/27/2020 17:00,22.776
461,7/27/2020 18:00,22.321
462,7/27/2020 19:00,22.106
463,7/27/2020 20:00,22.274
464,7/27/2020 21:00,22.465
465,7/27/2020 22:00,22.824
466,7/27/2020 23:00,22.944
467,7/28/2020 0:00,22.872
468,7/28/2020 1:00,22.417
469,7/28/2020 2:00,21.366
470,7/28/2020 3:00,21.342
471,7/28/2020 4:00,21.891
472,7/28/2020 5:00,21.676
473,7/28/2020 6:00,21.533
474,7/28/2020 7:00,21.032
475,7/28/2020 8:00,21.127
476,7/28/2020 9:00,21.199
477,7/28/2020 10:00,21.008
478,7/28/2020 11:00,21.39
479,7/28/2020 12:00,22.321
480,7/28/2020 13:00,22.992
481,7/28/2020 14:00,22.92
482,7/28/2020 15:00,22.944
483,7/28/2020 16:00,22.753
484,7/28/2020 17:00,22.489
485,7/28/2020 18:00,22.154
486,7/28/2020 19:00,21.939
487,7/28/2020 20:00,21.843
488,7/28/2020 21:00,21.867
489,7/28/2020 22:00,22.011
490,7/28/2020 23:00,22.178
491,7/29/2020 0:00,22.226
492,7/29/2020 1:00,22.011
493,7/29/2020 2:00,21.199
494,7/29/2020 3:00,20.055
495,7/29/2020 4:00,19.817
496,7/29/2020 5:00,20.793
497,7/29/2020 6:00,21.032
498,7/29/2020 7:00,21.056
499,7/29/2020 8:00,20.865
500,7/29/2020 9:00,20.579
501,7/29/2020 10:00,20.793
502,7/29/2020 11:00,21.199
503,7/29/2020 12:00,21.891
504,7/29/2020 13:00,22.561
505,7/29/2020 14:00,23.04
506,7/29/2020 15:00,22.681
507,7/29/2020 16:00,22.513
508,7/29/2020 17:00,22.202
509,7/29/2020 18:00,21.963
510,7/29/2020 19:00,21.915
511,7/29/2020 20:00,21.819
512,7/29/2020 21:00,21.724
513,7/29/2020 22:00,21.581
514,7/29/2020 23:00,21.581
515,7/30/2020 0:00,21.676
516,7/30/2020 1:00,21.533
517,7/30/2020 2:00,21.079
518,7/30/2020 3:00,20.055
519,7/30/2020 4:00,18.747
520,7/30/2020 5:00,15.963
521,7/30/2020 6:00,19.651
522,7/30/2020 7:00,20.507
523,7/30/2020 8:00,20.627
524,7/30/2020 9:00,20.507
525,7/30/2020 10:00,20.222
526,7/30/2020 11:00,20.555
527,7/30/2020 12:00,21.127
528,7/30/2020 13:00,21.772
529,7/30/2020 14:00,22.226
530,7/30/2020 15:00,22.657
531,7/30/2020 16:00,22.25
532,7/30/2020 17:00,21.819
533,7/30/2020 18:00,21.676
534,7/30/2020 19:00,21.557
535,7/30/2020 20:00,21.509
536,7/30/2020 21:00,21.437
537,7/30/2020 22:00,21.342
538,7/30/2020 23:00,21.151
539,7/31/2020 0:00,20.96
540,7/31/2020 1:00,21.008
541,7/31/2020 2:00,20.817
542,7/31/2020 3:00,20.412
543,7/31/2020 4:00,19.318
544,7/31/2020 5:00,15.986
545,7/31/2020 6:00,15.008
546,7/31/2020 7:00,17.796
547,7/31/2020 8:00,19.888
548,7/31/2020 9:00,20.15
549,7/31/2020 10:00,20.198
550,7/31/2020 11:00,20.198
551,7/31/2020 12:00,20.365
552,7/31/2020 13:00,20.531
553,7/31/2020 14:00,20.96
554,7/31/2020 15:00,21.318
555,7/31/2020 16:00,21.485
556,7/31/2020 17:00,21.294
557,7/31/2020 18:00,21.056
558,7/31/2020 19:00,20.96
559,7/31/2020 20:00,20.698
560,7/31/2020 21:00,20.77
561,7/31/2020 22:00,20.746
562,7/31/2020 23:00,20.65
563,8/1/2020 0:00,20.341
564,8/1/2020 1:00,19.984
565,8/1/2020 2:00,19.817
566,8/1/2020 3:00,19.532
567,8/1/2020 4:00,18.818
568,8/1/2020 5:00,18.295
569,8/1/2020 6:00,14.84
570,8/1/2020 7:00,14.026
571,8/1/2020 8:00,16.987
572,8/1/2020 9:00,19.008
573,8/1/2020 10:00,19.27
574,8/1/2020 11:00,19.532
575,8/1/2020 12:00,19.793
576,8/1/2020 13:00,20.174
577,8/1/2020 14:00,20.46
578,8/1/2020 15:00,20.936
579,8/1/2020 16:00,21.27
580,8/1/2020 17:00,21.151
581,8/1/2020 18:00,20.984
582,8/1/2020 19:00,20.793
583,8/1/2020 20:00,20.555
584,8/1/2020 21:00,20.46
585,8/1/2020 22:00,20.507
586,8/1/2020 23:00,20.436
587,8/2/2020 0:00,20.365
588,8/2/2020 1:00,20.007
589,8/2/2020 2:00,19.793
590,8/2/2020 3:00,19.46
591,8/2/2020 4:00,19.032
592,8/2/2020 5:00,18.39
593,8/2/2020 6:00,17.249
594,8/2/2020 7:00,15.151
595,8/2/2020 8:00,15.485
596,8/2/2020 9:00,18.604
597,8/2/2020 10:00,19.555
598,8/2/2020 11:00,19.96
599,8/2/2020 12:00,20.317
600,8/2/2020 13:00,20.555
601,8/2/2020 14:00,20.841
602,8/2/2020 15:00,21.032
603,8/2/2020 16:00,21.461
604,8/2/2020 17:00,21.246
605,8/2/2020 18:00,21.127
606,8/2/2020 19:00,21.246
607,8/2/2020 20:00,21.27
608,8/2/2020 21:00,20.698
609,8/2/2020 22:00,20.531
610,8/2/2020 23:00,20.484
611,8/3/2020 0:00,20.436
612,8/3/2020 1:00,20.293
613,8/3/2020 2:00,19.96
614,8/3/2020 3:00,19.698
615,8/3/2020 4:00,19.341
616,8/3/2020 5:00,18.747
617,8/3/2020 6:00,17.891
618,8/3/2020 7:00,15.629
619,8/3/2020 8:00,17.296
620,8/3/2020 9:00,19.817
621,8/3/2020 10:00,20.627
622,8/3/2020 11:00,20.15
623,8/3/2020 12:00,20.388
624,8/3/2020 13:00,20.698
625,8/3/2020 14:00,20.865
626,8/3/2020 15:00,20.841
627,8/3/2020 16:00,20.77
628,8/3/2020 17:00,20.722
629,8/3/2020 18:00,20.627
630,8/3/2020 19:00,20.555
631,8/3/2020 20:00,20.984
632,8/3/2020 21:00,20.841
633,8/3/2020 22:00,20.365
634,8/3/2020 23:00,20.341
635,8/4/2020 0:00,20.246
636,8/4/2020 1:00,20.15
637,8/4/2020 2:00,20.031
638,8/4/2020 3:00,19.651
639,8/4/2020 4:00,19.294
640,8/4/2020 5:00,18.723
641,8/4/2020 6:00,18.247
642,8/4/2020 7:00,17.701
643,8/4/2020 8:00,16.487
644,8/4/2020 9:00,18.509
645,8/4/2020 10:00,16.296
646,8/4/2020 11:00,20.436
647,8/4/2020 12:00,20.436
648,8/4/2020 13:00,20.555
649,8/4/2020 14:00,20.722
650,8/4/2020 15:00,21.032
651,8/4/2020 16:00,20.913
652,8/4/2020 17:00,20.817
653,8/4/2020 18:00,20.627
654,8/4/2020 19:00,20.531
655,8/4/2020 20:00,20.841
656,8/4/2020 21:00,20.77
657,8/4/2020 22:00,20.365
658,8/4/2020 23:00,20.293
659,8/5/2020 0:00,20.222
660,8/5/2020 1:00,20.079
661,8/5/2020 2:00,19.96
662,8/5/2020 3:00,19.793
663,8/5/2020 4:00,19.508
664,8/5/2020 5:00,19.127
665,8/5/2020 6:00,18.961
666,8/5/2020 7:00,18.628
667,8/5/2020 8:00,18.129
668,8/5/2020 9:00,14.912
669,8/5/2020 10:00,15.819
670,8/5/2020 11:00,19.222
671,8/5/2020 12:00,19.579
672,8/5/2020 13:00,19.555
673,8/5/2020 14:00,19.627
674,8/5/2020 15:00,19.888
675,8/5/2020 16:00,20.174
676,8/5/2020 17:00,20.269
677,8/5/2020 18:00,20.198
678,8/5/2020 19:00,20.055
679,8/5/2020 20:00,19.841
680,8/5/2020 21:00,19.77
681,8/5/2020 22:00,19.817
682,8/5/2020 23:00,19.817
683,8/6/2020 0:00,19.579
684,8/6/2020 1:00,19.555
685,8/6/2020 2:00,19.484
686,8/6/2020 3:00,19.365
687,8/6/2020 4:00,19.08
688,8/6/2020 5:00,18.39
689,8/6/2020 6:00,17.915
690,8/6/2020 7:00,17.439
691,8/6/2020 8:00,17.177
692,8/6/2020 9:00,17.225
693,8/6/2020 10:00,22.92
694,8/6/2020 11:00,20.674
695,8/6/2020 12:00,20.365
696,8/6/2020 13:00,20.484
697,8/6/2020 14:00,20.507
698,8/6/2020 15:00,20.722
699,8/6/2020 16:00,20.698
700,8/6/2020 17:00,20.674
701,8/6/2020 18:00,20.579
702,8/6/2020 19:00,20.555
703,8/6/2020 20:00,20.269
704,8/6/2020 21:00,20.126
705,8/6/2020 22:00,20.841
706,8/6/2020 23:00,20.674
707,8/7/2020 0:00,20.555
708,8/7/2020 1:00,19.984
709,8/7/2020 2:00,19.984
710,8/7/2020 3:00,19.841
711,8/7/2020 4:00,19.698
712,8/7/2020 5:00,19.08
713,8/7/2020 6:00,18.438
714,8/7/2020 7:00,17.891
715,8/7/2020 8:00,17.344
716,8/7/2020 9:00,18.033
717,8/7/2020 10:00,19.674
718,8/7/2020 11:00,21.199
719,8/7/2020 12:00,20.865
720,8/7/2020 13:00,21.079
721,8/7/2020 14:00,21.318
722,8/7/2020 15:00,21.366
723,8/7/2020 16:00,21.581
724,8/7/2020 17:00,22.369
725,8/7/2020 18:00,23.136
726,8/7/2020 19:00,22.274
727,8/7/2020 20:00,21.987
728,8/7/2020 21:00,21.39
729,8/7/2020 22:00,20.96
730,8/7/2020 23:00,20.793
731,8/8/2020 0:00,20.746
